Timestamp
Score
Time
Life
Score/10s
Life/10s
Reflexes
Ball Speed
Ball Spawn Rate
Life Spawn Rate
2023-11-22 00:13:45,4,8,10,0,0,0,10,4,8
2023-11-22 00:18:00,0,47,3839,1,0,1,1,504444,30,5,5
2023-11-22 00:18:01,0,46,3737,1,0,1,1,504251,30,5,5
2023-11-22 00:18:02,0,45,36494,1,0,1,1,504251,30,5,5
2023-11-22 00:18:03,0,44,37151,1,0,1,1,504125,30,5,5
2023-11-22 00:18:04,0,43,34668,1,0,1,1,491854,30,5,5
2023-11-22 00:18:05,0,42,32895,1,0,1,1,491854,30,5,5
2023-11-22 00:18:06,0,41,30789,1,0,1,1,508927,30,5,5
2023-11-22 00:18:07,0,40,2915,1,0,1,1,510353,30,5,5
2023-11-22 00:18:08,0,39,27191,1,0,1,1,510353,30,5,5
2023-11-22 00:18:09,0,38,26425,1,0,1,1,522638,30,5,5
2023-11-22 00:18:10,0,37,24881,1,0,1,1,507742,30,5,5
2023-11-22 00:18:11,0,36,2442,1,0,1,1,512258,30,5,5
2023-11-22 00:18:12,0,35,23682,1,0,1,1,510585,30,5,5
2023-11-22 00:18:13,0,34,24405,1,0,1,1,511801,30,5,5
2023-11-22 00:18:14,0,33,23532,1,0,1,1,516887,30,5,5
2023-11-22 00:18:15,0,32,21115,1,0,1,1,510997,30,5,5
2023-11-22 00:18:16,0,31,2027,1,0,1,1,51151,30,5,5
2023-11-22 00:18:17,0,30,18356,1,0,1,1,507785,30,5,5
2023-11-22 00:18:18,0,29,19308,1,0,1,1,503969,30,5,5
2023-11-22 00:18:19,0,28,1738,1,0,1,1,503969,30,5,5
2023-11-22 00:18:20,0,27,16092,1,0,1,1,508225,30,5,5
2023-11-22 00:18:21,0,26,18488,1,0,1,1,508225,30,5,5
2023-11-22 00:18:22,0,25,15121,1,0,1,1,507744,30,5,5
2023-11-22 00:18:23,0,24,14746,1,0,1,1,502508,30,5,5
2023-11-22 00:18:24,0,23,14215,1,0,1,1,507104,30,5,5
2023-11-22 00:18:25,0,22,14078,1,0,1,1,508359,30,5,5
2023-11-22 00:18:26,0,21,12308,1,0,1,1,507368,30,5,5
2023-11-22 00:18:27,0,20,10867,1,0,1,1,506706,30,5,5
2023-11-22 00:18:28,0,19,11536,1,0,1,1,509916,30,5,5
2023-11-22 00:18:29,0,18,09012,1,0,1,1,514602,30,5,5
